trl_ID,盤點日期
TRL20221107037,20221111
TRL20190613002,20221111
TRL20221107038,20221111
TRL20201215002,20221111
TRL20220630028,20221111
TRL20201209004,20221111
TRL20200321002,20221111
TRL20220303029,20221111
TRL20221101041,20221111
TRL20221101042,20221111
TRL20221101043,20221111
TRL20220729053,20221111
TRL20221102021,20221111
TRL20220830030,20221111
TRL20221102018,20221111
TRL20220830031,20221111
TRL20221102017,20221111
TRL20220726017,20221111
TRL20220824038,20221111
TRL20221031041,20221111
TRL20221102020,20221111
TRL20200331062,20221111
TRL20221102019,20221111
TRL20220504021,20221111
TRL20220504019,20221111
TRL20221031043,20221111
TRL20221031040,20221111
TRL20220504008,20221111
TRL20221031042,20221111
TRL20220823051,20221111
TRL20221107001,20221111
TRL20221019041,20221111
TRL20220608021,20221111
TRL20221019008,20221111
TRL20220608022,20221111
TRL20220824039,20221111
TRL20220425032,20221111
TRL20220526002,20221111
TRL20220526003,20221111
TRL20220425033,20221111
TRL20220810021,20221111
TRL20220701033,20221111
TRL20220810020,20221111
TRL20220809026,20221111
TRL20220718043,20221111
TRL20220318003,20221111
TRL20220718036,20221111
TRL20220718045,20221111
TRL20200331063,20221111
TRL20220718034,20221111
TRL20220718035,20221111
TRL20220718044,20221111
TRL20220122015,20221111
TRL20220718038,20221111
TRL20220519003,20221111
TRL20220718039,20221111
TRL20220830029,20221111
TRL20220830028,20221111
TRL20221104026,20221111
TRL20221104025,20221111
TRL20221104030,20221111
TRL20221108036,20221111
TRL20220905010,20221111
TRL20221104002,20221111
TRL20221013014,20221111
TRL20221031031,20221111
TRL20220927005,20221111
TRL20220628002,20221111
TRL20221104003,20221111
TRL20220610035,20221111
TRL20221017001,20221111
TRL20220912007,20221111
TRL20220905011,20221111
TRL20220610035,20221111
TRL20220812030,20221111
TRL20221005010,20221111
TRL20221012023,20221111
TRL20220823062,20221111
TRL20220718022,20221111
TRL20221011015,20221111
TRL20221021027,20221111
TRL20221104004,20221111
TRL20221104010,20221111
TRL20221104009,20221111
TRL20221021025,20221111
TRL20221021026,20221111
TRL20221109029,20221111
TRL20221109028,20221111
TRL20221026023,20221111
TRL20221024020,20221111
TRL20221021028,20221111
TRL20221104028,20221111
TRL20220913006,20221111
TRL20220913006,20221111
TRL20221021028,20221111
TRL20221109025,20221111
TRL20221109026,20221111
TRL20221021027,20221111
TRL20221108053,20221111
TRL20221107035,20221111
TRL20221012008,20221111
TRL20221102002,20221111
TRL20221024024,20221111
TRL20221107030,20221111
TRL20221026022,20221111
TRL20221107033,20221111
TRL20221107034,20221111
TRL20221028047,20221111
TRL20221107031,20221111
TRL20221107032,20221111
TRL20221104031,20221111
TRL20221103022,20221111
TRL20221103018,20221111
TRL20221103019,20221111
TRL20221103021,20221111
TRL20221031029,20221111
TRL20221031032,20221111
TRL20221020012,20221111
TRL20221110002,20221111
TRL20221110002,20221111
TRL20220429006,20221111
TRL20221110017,20221111
TRL20221110016,20221111
TRL20221110015,20221111
TRL20221111021,20221111
TRL20221111022,20221111
TRL20221111001,20221111
TRL20221107029,20221111
TRL20221111003,20221111
TRL20221110013,20221111
TRL20221111011,20221111
TRL20221110030,20221111
TRL20221110036,20221111
TRL20220809018,20221111
TRL20220617066,20221111
TRL20221110038,20221111
TRL20221110037,20221111
TRL20221111002,20221111
TRL20221110031,20221111
TRL20221004005,20221111
TRL20221003026,20221111
TRL20221003025,20221111
TRL20221003026,20221111
TRL20221111023,20221111
TRL20221110025,20221111
TRL20221110024,20221111
TRL20221110023,20221111
TRL20221110020,20221111
TRL20221110026,20221111
TRL20221110027,20221111
TRL20221110022,20221111
TRL20221110021,20221111
TRL20220617004,20221111
TRL20221110018,20221111
TRL20220302030,20221111
TRL20221110019,20221111
TRL20221003016,20221111
TRL20221004027,20221111
TRL20220816024,20221111
TRL20220527055,20221111
TRL20221101017,20221111
TRL20221104017,20221111
TRL20221104015,20221111
TRL20220908007,20221111
TRL20220926021,20221111
TRL20220922030,20221111
TRL20220922031,20221111
TRL20221027036,20221111
TRL20220922029,20221111
TRL20220922028,20221111
TRL20220922027,20221111
TRL20220922031,20221111
TRL20210510001,20221111
TRL20220801040,20221111
TRL20220509117,20221111
TRL20220503036,20221111
TRL20220707054,20221111
TRL20220801006,20221111
TRL20220509108,20221111
TRL20221025045,20221111
TRL20221025045,20221111
TRL20221107016,20221111
TRL20221025046,20221111
TRL20221028023,20221111
TRL20221028024,20221111
TRL20221025043,20221111
TRL20220627039,20221111
TRL20211201006,20221111
TRL20211201003,20221111
TRL20211201004,20221111
TRL20211201008,20221111
TRL20220412016,20221111
TRL20211126010,20221111
TRL20220801041,20221111
TRL20211126003,20221111
TRL20200331039,20221111
TRL20211126014,20221111
TRL20220823044,20221111
TRL20220823047,20221111
TRL20220823046,20221111
TRL20220823043,20221111
TRL20220823042,20221111
TRL20220823045,20221111
TRL20220906019,20221111
TRL20221024006,20221111
TRL20221025039,20221111
TRL20221026002,20221111
TRL20210915014,20221111
TRL20221028046,20221111
TRL20220913009,20221111
TRL20221101037,20221111
TRL20221017033,20221111
TRL20220618001,20221111
TRL20220920037,20221111
TRL20210930001,20221111
TRL20210825002,20221111
TRL20200331032,20221111
TRL20200331033,20221111
TRL20200331034,20221111
TRL20201116001,20221111
TRL20221011025,20221111
TRL20220630032,20221111
TRL20221011024,20221111
TRL20221011023,20221111
TRL20221011021,20221111
TRL20221011022,20221111
TRL20211028005,20221111
TRL20220214144,20221111
TRL20220617023,20221111
TRL20220805006,20221111
TRL20221107005,20221111
TRL20221026018,20221111
TRL20221107009,20221111
TRL20221107008,20221111
TRL20221107011,20221111
TRL20221107010,20221111
TRL20220623007,20221111
TRL20200414002,20221111
TRL20220915033,20221111
TRL20220725042,20221111
TRL20200331036,20221111
TRL20220829007,20221111
TRL20220809005,20221111
TRL20220628009,20221111
TRL20220429005,20221111
TRL20221109009,20221111
TRL20221109007,20221111
TRL20221109011,20221111
TRL20221109007,20221111
TRL20220908026,20221111
TRL20200331031,20221111
TRL20221109010,20221111
TRL20220615005,20221111
TRL20221109002,20221111
TRL20210205001,20221111
TRL20220722020,20221111
TRL20221110011,20221111
TRL20221110010,20221111
TRL20220607005,20221111
TRL20220805041,20221111
TRL20221003001,20221111
TRL20221108069,20221111
TRL20200331038,20221111
TRL20220607020,20221111
TRL20210608001,20221111
TRL20210622001,20221111
TRL20200702001,20221111
TRL20210225001,20221111
TRL20220613016,20221111
TRL20201023002,20221111
TRL20220815027,20221111
TRL20220809004,20221111
TRL20211203003,20221111
TRL20221006055,20221111
TRL20210111003,20221111
TRL20220505018,20221111
TRL20220815076,20221111
TRL20220819006,20221111
TRL20210217001,20221111
TRL20220505019,20221111
TRL20221005005,20221111
TRL20220525010,20221111
TRL20220224044,20221111
TRL20220805041,20221111
TRL20221003001,20221111
TRL20221108069,20221111
TRL20221110011,20221111
TRL20221110010,20221111
TRL20210830001,20221111
TRL20221111005,20221111
TRL20221111004,20221111
TRL20220316014,20221111
TRL20221111010,20221111
TRL20221111006,20221111
TRL20221101004,20221111
TRL20221111007,20221111
TRL20220929018,20221111
TRL20221111009,20221111
TRL20220929020,20221111
TRL20220929017,20221111
TRL20221111008,20221111
TRL20221110005,20221111
TRL20221110006,20221111
TRL20221110014,20221111
TRL20221110004,20221111
TRL20221110003,20221111
TRL20221109032,20221111
TRL20221109001,20221111
TRL20221109031,20221111
TRL20220808015,20221111
TRL20220822019,20221111
TRL20220825032,20221111
TRL20220504003,20221111
TRL20221108057,20221111
TRL20221019002,20221111
TRL20220428029,20221111
TRL20221007001,20221111
TRL20220803022,20221111
TRL20221013047,20221111
TRL20220929019,20221111
TRL20220419043,20221111
TRL20220329030,20221111
TRL20220606038,20221111
TRL20220606038,20221111
TRL20210830001,20221111
TRL20220620037,20221111
TRL20221006014,20221111
TRL20221028027,20221111
TRL20221103029,20221111
TRL20221103026,20221111
TRL20221103028,20221111
TRL20221103027,20221111
TRL20221107021,20221111
TRL20220914015,20221111
TRL20220810003,20221111
TRL20220902004,20221111
TRL20221018041,20221111
TRL20220316101,20221111
TRL20220523006,20221111
TRL20220801036,20221111
TRL20220511040,20221111
TRL20220309015,20221111
TRL20221110007,20221111
TRL20220823026,20221111
TRL20221018041,20221111
TRL20221018041,20221111
TRL20221101040,20221111
TRL20221101040,20221111
TRL20221101038,20221111
TRL20221101039,20221111
TRL20220830008,20221111
TRL20221103030,20221111
TRL20221021014,20221111
TRL20221103031,20221111
TRL20221021006,20221111
TRL20221101040,20221111
TRL20221027007,20221111
TRL20221101038,20221111
TRL20220920078,20221111
TRL20220920003,20221111
TRL20220920004,20221111
TRL20221101039,20221111
TRL20220920001,20221111
TRL20220920002,20221111
TRL20220920070,20221111
TRL20220920077,20221111
TRL20220920079,20221111
TRL20220920073,20221111
TRL20220915004,20221111
TRL20221011017,20221111
TRL20210330005,20221111
TRL20221021012,20221111
TRL20211014002,20221111
TRL20221027005,20221111
TRL20210618001,20221111
TRL20221021013,20221111
TRL20200331049,20221111
TRL20221021005,20221111
TRL20200331046,20221111
TRL20200331046,20221111
TRL20210607001,20221111
TRL20220527019,20221111
TRL20220718007,20221111
TRL20220330039,20221111
TRL20220527044,20221111
TRL20211102001,20221111
TRL20220810031,20221111
TRL20220609024,20221111
TRL20220902022,20221111
TRL20220706012,20221111
TRL20221028081,20221111
TRL20220803028,20221111
TRL20220810013,20221111
TRL20220902021,20221111
TRL20220316017,20221111
TRL20210726001,20221111
TRL20221028080,20221111
TRL20211124004,20221111
TRL20220224039,20221111
TRL20220922022,20221111
TRL20220329007,20221111
TRL20220310048,20221111
TRL20220310049,20221111
TRL20220729037,20221111
TRL20220729031,20221111
TRL20221102030,20221111
TRL20220729032,20221111
TRL20220729032,20221111
TRL20221103023,20221111
TRL20220119030,20221111
TRL20220218118,20221111
TRL20221103025,20221111
TRL20221103024,20221111
TRL20221024016,20221111
TRL20220725033,20221111
TRL20220725035,20221111
TRL20220309016,20221111
TRL20220309016,20221111
TRL20221028077,20221111
TRL20221028079,20221111
TRL20211203004,20221111
TRL20220808018,20221111
TRL20210330001,20221111
TRL20220606003,20221111
TRL20220606002,20221111
TRL20220527041,20221111
TRL20210908005,20221111
TRL20220105010,20221111
TRL20220801024,20221111
TRL20220629001,20221111
TRL20220906008,20221111
TRL20220629001,20221111
TRL20220629001,20221111
TRL20220725026,20221111
TRL20221025034,20221111
TRL20220811005,20221111
TRL20220609023,20221111
TRL20221028076,20221111
TRL20220812044,20221111
TRL20211015001,20221111
TRL20220729028,20221111
TRL20220729029,20221111
TRL20220812007,20221111
TRL20211115003,20221111
TRL20210804001,20221111
TRL20210804007,20221111
TRL20211115002,20221111
TRL20211125004,20221111
TRL20220615015,20221111
TRL20211012001,20221111
TRL20220224036,20221111
TRL20220301028,20221111
TRL20220919016,20221111
TRL20220810016,20221111
TRL20220913013,20221111
TRL20220615016,20221111
TRL20220805044,20221111
TRL20200331044,20221111
TRL20220801032,20221111
TRL20210820002,20221111
TRL20211012002,20221111
TRL20211103001,20221111
TRL20211125002,20221111
TRL20200331053,20221111
TRL20220801032,20221111
TRL20220531007,20221111
TRL20220218117,20221111
TRL20220218117,20221111
TRL20211203005,20221111
TRL20220815032,20221111
TRL20220815033,20221111
TRL20221027009,20221111
TRL20221027028,20221111
TRL20221027008,20221111
TRL20220902005,20221111
TRL20010707023,20221111
TRL20211103005,20221111
TRL20211103004,20221111
TRL20211113001,20221111
TRL20221027028,20221111
TRL20221027008,20221111
TRL20211103003,20221111
TRL20210902001,20221111
TRL20220801025,20221111
TRL20210814001,20221111
TRL20220914011,20221111
